,id,label,Level
CERN,CERN,CERN,1
Personnel,Personnel,Personnel,2
International.collaborations,International.collaborations,International.collaborations,2
Intergovernmental.organization,Intergovernmental.organization,Intergovernmental.organization,2
Public,Public,Public,2
Human.knowledge...curiosity,Human.knowledge...curiosity,Human.knowledge...curiosity,2
Particle.physics,Particle.physics,Particle.physics,2
Engineering,Engineering,Engineering,2
Particle.accelerators,Particle.accelerators,Particle.accelerators,3
Scientists,Scientists,Scientists,8
Engineers,Engineers,Engineers,8
Non.STEM.professionals,Non.STEM.professionals,Non.STEM.professionals,8
Mathematicians,Mathematicians,Mathematicians,8
Technicians,Technicians,Technicians,8
Particle.detectors,Particle.detectors,Particle.detectors,3
Computing.facilities,Computing.facilities,Computing.facilities,3
ESA,ESA,ESA,8
UNESCO,UNESCO,UNESCO,8
WHO,WHO,WHO,8
Member.states,Member.states,Member.states,8
Associate.member.states,Associate.member.states,Associate.member.states,8
Observer.states,Observer.states,Observer.states,8
Knowledge.transfer,Knowledge.transfer,Knowledge.transfer,3
Fundamental.questions,Fundamental.questions,Fundamental.questions,3
Theoretical.particle.physics,Theoretical.particle.physics,Theoretical.particle.physics,3
Experimental.particle.physics,Experimental.particle.physics,Experimental.particle.physics,3
Touchscreen,Touchscreen,Touchscreen,8
Open.data.repositories,Open.data.repositories,Open.data.repositories,8
Hadron.therapy,Hadron.therapy,Hadron.therapy,8
Medical.Particle.detectors,Medical.Particle.detectors,Medical.Particle.detectors,8
World.wide.web..WWW.,World.wide.web..WWW.,World.wide.web..WWW.,8
Antimatter,Antimatter,Antimatter,4
Matter,Matter,Matter,4
Cosmology,Cosmology,Cosmology,4
Standard.Model.of.particle.physics,Standard.Model.of.particle.physics,Standard.Model.of.particle.physics,4
Predictions,Predictions,Predictions,4
Observations,Observations,Observations,4
Particles,Particles,Particles,4
Collisions,Collisions,Collisions,4
Acceleration.principles,Acceleration.principles,Acceleration.principles,4
LINAC3,LINAC3,LINAC3,8
LINAC4,LINAC4,LINAC4,8
LHC,LHC,LHC,8
SPS,SPS,SPS,8
PS,PS,PS,8
LEIR,LEIR,LEIR,8
PSB,PSB,PSB,8
Detection.principles,Detection.principles,Detection.principles,4
Data,Data,Data,4
ATLAS,ATLAS,ATLAS,8
CMS,CMS,CMS,8
ALICE,ALICE,ALICE,8
LHCb,LHCb,LHCb,8
TOTEM,TOTEM,TOTEM,8
LHCf,LHCf,LHCf,8
MoEDAL,MoEDAL,MoEDAL,8
COMPASS,COMPASS,COMPASS,8
NA62,NA62,NA62,8
SHINE,SHINE,SHINE,8
CLOUD,CLOUD,CLOUD,8
GBAR,GBAR,GBAR,8
ALPHA,ALPHA,ALPHA,8
AEGIS,AEGIS,AEGIS,8
DIRAC,DIRAC,DIRAC,8
ASACUSA,ASACUSA,ASACUSA,8
ATRAP,ATRAP,ATRAP,8
CAST,CAST,CAST,8
ISOLDE,ISOLDE,ISOLDE,8
nTOF,nTOF,nTOF,8
AMS,AMS,AMS,8
CERN.data.centre,CERN.data.centre,CERN.data.centre,8
Worldwide.LHC.computing.grid,Worldwide.LHC.computing.grid,Worldwide.LHC.computing.grid,8
Hardware,Hardware,Hardware,4
Cybersecurity,Cybersecurity,Cybersecurity,4
Universe,Universe,Universe,5
Simulations,Simulations,Simulations,5
Open.questions.in.particle.physics,Open.questions.in.particle.physics,Open.questions.in.particle.physics,5
Quantum.field.theory,Quantum.field.theory,Quantum.field.theory,5
Fundamental.interactions,Fundamental.interactions,Fundamental.interactions,5
Detectors,Detectors,Detectors,5
Mechanics,Mechanics,Mechanics,5
Special.relativity,Special.relativity,Special.relativity,5
Electromagnetism,Electromagnetism,Electromagnetism,5
Conservation.laws,Conservation.laws,Conservation.laws,5
Thermodynamics,Thermodynamics,Thermodynamics,5
Trigger.systems,Trigger.systems,Trigger.systems,5
Signal...Background,Signal...Background,Signal...Background,5
Analysis,Analysis,Analysis,5
Storage,Storage,Storage,5
Network,Network,Network,5
Quantum.gravity,Quantum.gravity,Quantum.gravity,6
Neutrino.properties,Neutrino.properties,Neutrino.properties,6
Supersymmetry,Supersymmetry,Supersymmetry,6
String.theory,String.theory,String.theory,6
Big.Bang,Big.Bang,Big.Bang,6
Inflation,Inflation,Inflation,6
Dark.energy,Dark.energy,Dark.energy,6
Dark.matter,Dark.matter,Dark.matter,6
Baryon.asymmetry,Baryon.asymmetry,Baryon.asymmetry,6
Grand.Unifying.Theory,Grand.Unifying.Theory,Grand.Unifying.Theory,6
Feynman.diagrams,Feynman.diagrams,Feynman.diagrams,6
Quantum.mechanics,Quantum.mechanics,Quantum.mechanics,6
Quantum.fields,Quantum.fields,Quantum.fields,6
Charges,Charges,Charges,6
Symmetries,Symmetries,Symmetries,6
Elementary.particles,Elementary.particles,Elementary.particles,6
Interaction.particles,Interaction.particles,Interaction.particles,6
Electromagnetic,Electromagnetic,Electromagnetic,8
Weak,Weak,Weak,8
Strong,Strong,Strong,8
Hypothetical.new.interactions,Hypothetical.new.interactions,Hypothetical.new.interactions,8
Circular.motion,Circular.motion,Circular.motion,6
Linear.motion,Linear.motion,Linear.motion,6
Relativistic.motion,Relativistic.motion,Relativistic.motion,6
E.ymc2,E.ymc2,E.ymc2,6
Magnetic.fields,Magnetic.fields,Magnetic.fields,6
Electric.fields,Electric.fields,Electric.fields,6
Superconductivity,Superconductivity,Superconductivity,6
Vacuum,Vacuum,Vacuum,6
Cooling,Cooling,Cooling,6
Phase.transitions,Phase.transitions,Phase.transitions,6
Conservation.of.energy,Conservation.of.energy,Conservation.of.energy,6
Conservation.of.angular.momentum,Conservation.of.angular.momentum,Conservation.of.angular.momentum,6
Conservation.of.linear.momentum,Conservation.of.linear.momentum,Conservation.of.linear.momentum,6
Conservation.of.charges,Conservation.of.charges,Conservation.of.charges,6
Algorithms,Algorithms,Algorithms,6
Programming,Programming,Programming,6
Machine.learning,Machine.learning,Machine.learning,6
Scientific.results,Scientific.results,Scientific.results,6
Brout.Englert.Higgs.field,Brout.Englert.Higgs.field,Brout.Englert.Higgs.field,7
Bosons,Bosons,Bosons,8
Hypothetical.new.interaction.particles,Hypothetical.new.interaction.particles,Hypothetical.new.interaction.particles,8
Composite.particle.systems,Composite.particle.systems,Composite.particle.systems,7
Mass,Mass,Mass,7
Hypothetical.new.elementary.particles,Hypothetical.new.elementary.particles,Hypothetical.new.elementary.particles,8
Fermions,Fermions,Fermions,8
Color.charges,Color.charges,Color.charges,8
Weak.charge,Weak.charge,Weak.charge,8
Electric.charge,Electric.charge,Electric.charge,8
Lorenz.force,Lorenz.force,Lorenz.force,7
Ionisation,Ionisation,Ionisation,7
Kinetic.energy,Kinetic.energy,Kinetic.energy,7
Statistical.tools,Statistical.tools,Statistical.tools,7
Pattern.recognition,Pattern.recognition,Pattern.recognition,7
Photons,Photons,Photons,8
W.bosons,W.bosons,W.bosons,8
Z.bosons,Z.bosons,Z.bosons,8
Gluons,Gluons,Gluons,8
Higgs.boson,Higgs.boson,Higgs.boson,8
Hypothetical.new.composite.particle.systems,Hypothetical.new.composite.particle.systems,Hypothetical.new.composite.particle.systems,8
Hadrons,Hadrons,Hadrons,8
Baryons,Baryons,Baryons,8
Mesons,Mesons,Mesons,8
Neutron,Neutron,Neutron,8
Proton,Proton,Proton,8
Kaon,Kaon,Kaon,8
Pion,Pion,Pion,8
Leptons,Leptons,Leptons,8
Anti.leptons,Anti.leptons,Anti.leptons,8
Quarks,Quarks,Quarks,8
Anti.quarks,Anti.quarks,Anti.quarks,8
Electron,Electron,Electron,8
Electron.neutrino,Electron.neutrino,Electron.neutrino,8
Muon,Muon,Muon,8
Muon.neutrino,Muon.neutrino,Muon.neutrino,8
Tau,Tau,Tau,8
Tau.neutrino,Tau.neutrino,Tau.neutrino,8
Up,Up,Up,8
Down,Down,Down,8
Strange,Strange,Strange,8
Charm,Charm,Charm,8
Top,Top,Top,8
Bottom,Bottom,Bottom,8
Positron,Positron,Positron,8
Positron.neutrino,Positron.neutrino,Positron.neutrino,8
Antimuon,Antimuon,Antimuon,8
Muon.antineutrino,Muon.antineutrino,Muon.antineutrino,8
Antitau,Antitau,Antitau,8
Tau.antineutrino,Tau.antineutrino,Tau.antineutrino,8
Antiup,Antiup,Antiup,8
Antidown,Antidown,Antidown,8
Antistrange,Antistrange,Antistrange,8
Anticharm,Anticharm,Anticharm,8
Antitop,Antitop,Antitop,8
Antibottom,Antibottom,Antibottom,8
Tachyon,Tachyon,Tachyon,8
Axion,Axion,Axion,8